,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R001,1.0000,0.6888,0.7572,0.7617,0.7321,0.7402,0.7207,0.7365,0.7796,0.7035,0.7326,0.7641,0.7525,0.7199,0.7522,0.7192,0.7486,0.7982,0.0746,0.0328,0.0442,-0.0349,0.4158,0.4081,0.4574,0.3074,0.4507,0.4115,0.1003,0.0484,0.1340,0.1141,0.0865,0.1194,0.0853,0.1177,0.1688,0.0501,0.3466,0.4111,0.3271,0.3291,0.3671,0.2405,0.3848,0.2674,0.3539,0.3397,0.2488,0.3317,0.1416,0.0499,-0.0279,0.0795,0.0999,0.1125,0.0685,0.0797,0.0257,0.1189,0.1476,0.0895,0.1483,0.0859,-0.0439,0.1058,0.1105,0.0024,0.2178,0.1532,0.2285,0.1739,0.1242,0.1979,0.2740,0.2438,0.2229,0.1695,0.2756,0.2466,0.0468,0.1024,0.0024,-0.0134,0.0213,0.1093,0.1588,0.1167,0.1246,0.1078
R002,0.6888,1.0000,0.6829,0.6505,0.6815,0.6961,0.6426,0.7608,0.6808,0.6755,0.6761,0.6967,0.6940,0.6467,0.7071,0.6680,0.6607,0.6750,0.0186,0.0554,0.0876,-0.0026,0.3076,0.3584,0.3295,0.2414,0.3264,0.3311,0.1976,0.1521,0.1908,0.1806,0.1840,0.1931,0.1288,0.1993,0.2179,0.1214,0.2763,0.3779,0.3627,0.3087,0.3339,0.2499,0.2982,0.2196,0.3173,0.2985,0.2453,0.3157,0.1767,0.1083,-0.0164,0.0589,0.1729,0.1446,0.0788,0.1097,0.1105,0.1520,0.1859,0.0710,0.1542,0.1251,-0.0140,0.1431,0.1426,0.0597,0.1931,0.1663,0.1146,0.1603,0.1084,0.1311,0.2125,0.1785,0.1973,0.1330,0.2620,0.1725,0.0410,0.1172,0.0706,0.0601,0.0944,0.1669,0.1374,0.1932,0.1844,0.1489
R003,0.7572,0.6829,1.0000,0.7092,0.7179,0.6879,0.7471,0.7058,0.7493,0.7199,0.7542,0.7268,0.6953,0.6868,0.7557,0.7204,0.7214,0.7779,0.0251,0.0403,0.0251,-0.0307,0.3608,0.4313,0.4339,0.3107,0.4160,0.3985,0.2106,0.1297,0.2141,0.1909,0.1892,0.2112,0.1669,0.2071,0.2242,0.1339,0.3574,0.4864,0.3937,0.3421,0.4382,0.2942,0.4050,0.3064,0.4280,0.3857,0.3043,0.4086,0.1560,0.0418,-0.0159,0.0582,0.1121,0.1055,0.0745,0.0757,0.0693,0.0940,0.1273,0.1065,0.1034,0.0669,-0.0261,0.0913,0.1053,-0.0191,0.1623,0.1541,0.1703,0.2139,0.1305,0.1680,0.2214,0.2118,0.1794,0.1470,0.2293,0.2206,0.0645,0.0977,0.0384,0.0366,0.0165,0.1157,0.1584,0.1669,0.1628,0.1233
R004,0.7617,0.6505,0.7092,1.0000,0.6878,0.7041,0.6852,0.6666,0.7422,0.7231,0.6995,0.7522,0.7658,0.6841,0.7303,0.6629,0.7429,0.7417,0.0851,0.0704,0.0719,0.0172,0.4549,0.5024,0.4784,0.3879,0.4852,0.4579,0.1670,0.1519,0.1793,0.2112,0.1644,0.1894,0.1934,0.1606,0.2250,0.1497,0.3316,0.4501,0.3654,0.3349,0.3722,0.2737,0.3898,0.3036,0.3546,0.3521,0.2760,0.3559,0.2414,0.1795,0.0698,0.2030,0.2715,0.1919,0.2165,0.2056,0.2128,0.2646,0.2501,0.2187,0.2768,0.2257,0.1310,0.2065,0.1989,0.1138,0.1931,0.1690,0.1890,0.1583,0.1057,0.1978,0.2381,0.2113,0.2090,0.1520,0.2841,0.2151,0.0549,0.1797,0.0730,0.0499,0.0460,0.1415,0.2010,0.1749,0.2053,0.1275
R005,0.7321,0.6815,0.7179,0.6878,1.0000,0.7297,0.7152,0.6876,0.7603,0.7078,0.7208,0.6951,0.7257,0.7190,0.6959,0.7012,0.7123,0.7312,0.1060,0.0890,0.0754,0.0373,0.3580,0.3624,0.3408,0.2329,0.3720,0.3281,0.1066,0.0652,0.1140,0.1080,0.0957,0.1227,0.0720,0.1039,0.1434,0.0746,0.3424,0.3637,0.2755,0.3013,0.3263,0.2429,0.3108,0.2747,0.3341,0.2749,0.2447,0.3035,0.1078,0.0426,-0.0065,0.0321,0.1045,0.1126,0.0604,0.0760,0.0608,0.1373,0.1126,0.0592,0.1270,0.0974,-0.0672,0.0722,0.0533,-0.0437,0.1484,0.1157,0.1626,0.1555,0.0924,0.1269,0.2180,0.1796,0.2212,0.1163,0.2195,0.1993,-0.0177,0.0386,0.0126,-0.0134,-0.0198,0.0902,0.1102,0.1145,0.1580,0.0404
R006,0.7402,0.6961,0.6879,0.7041,0.7297,1.0000,0.7145,0.7094,0.7232,0.7158,0.7108,0.7224,0.7471,0.7188,0.7227,0.7400,0.7236,0.7376,0.0797,0.0728,0.0796,0.0233,0.3690,0.4290,0.4036,0.3307,0.4035,0.3673,0.1828,0.1323,0.1757,0.2045,0.1071,0.1739,0.1772,0.1630,0.2055,0.1094,0.3578,0.4151,0.3501,0.3606,0.3883,0.2950,0.3678,0.3249,0.3765,0.3382,0.2887,0.3480,0.2401,0.1362,0.0618,0.0940,0.2112,0.1556,0.1612,0.1761,0.1131,0.2024,0.2532,0.1960,0.2325,0.2075,0.0261,0.1907,0.2073,0.0787,0.2089,0.1129,0.2142,0.1926,0.1655,0.2173,0.2484,0.2442,0.2749,0.2086,0.2937,0.2356,0.1461,0.1959,0.1116,0.1452,0.1037,0.2407,0.2384,0.2678,0.2875,0.2224
R007,0.7207,0.6426,0.7471,0.6852,0.7152,0.7145,1.0000,0.7078,0.7266,0.7245,0.7334,0.7278,0.7364,0.7179,0.7000,0.7576,0.7088,0.7333,0.0336,0.0320,0.0509,-0.0422,0.3940,0.4024,0.4435,0.3408,0.4305,0.4153,0.1614,0.1236,0.1787,0.1647,0.1084,0.1867,0.1291,0.1544,0.1917,0.0957,0.3585,0.4570,0.3777,0.3517,0.4041,0.2995,0.4109,0.3242,0.3939,0.3836,0.2951,0.3766,0.1041,0.0144,-0.0638,0.0509,0.1092,0.1540,0.0607,0.0950,-0.0084,0.0985,0.1054,0.0779,0.1760,0.0428,-0.0252,0.0851,0.0858,-0.0310,0.2145,0.1635,0.2508,0.2252,0.1359,0.2049,0.2706,0.2617,0.2352,0.2005,0.2727,0.2988,0.0450,0.0143,0.0379,-0.0107,0.0155,0.0437,0.1319,0.0904,0.1525,0.1268
R008,0.7365,0.7608,0.7058,0.6666,0.6876,0.7094,0.7078,1.0000,0.7214,0.7039,0.7507,0.7157,0.7283,0.6783,0.7233,0.6974,0.7294,0.7112,0.1424,0.1494,0.1565,0.0398,0.3583,0.3798,0.4032,0.2821,0.4084,0.3768,0.1178,0.0980,0.1319,0.1385,0.0917,0.1190,0.0963,0.1168,0.1539,0.0659,0.3241,0.3871,0.3374,0.3232,0.3827,0.2297,0.3664,0.2211,0.3510,0.3349,0.2850,0.3281,0.0719,-0.0656,-0.0706,-0.0378,0.0339,0.0804,0.0433,0.0712,-0.0108,0.0387,0.0462,-0.0008,0.0950,0.0630,-0.1126,0.0589,0.0678,-0.0352,0.2048,0.1609,0.1852,0.1800,0.1768,0.1780,0.2521,0.2327,0.2702,0.1492,0.2877,0.2750,0.1114,0.2070,0.0619,0.0722,0.0465,0.1473,0.2011,0.1771,0.2009,0.1510
R009,0.7796,0.6808,0.7493,0.7422,0.7603,0.7232,0.7266,0.7214,1.0000,0.7431,0.7243,0.7491,0.7453,0.6686,0.7546,0.7344,0.7447,0.7787,0.0619,0.0407,0.0189,-0.0110,0.4008,0.4379,0.4296,0.3400,0.4900,0.4238,0.1907,0.1666,0.2031,0.1632,0.1694,0.1667,0.1677,0.1454,0.1789,0.1262,0.3535,0.4359,0.3370,0.3353,0.3893,0.2854,0.3900,0.3109,0.3960,0.3502,0.3239,0.3658,0.1837,0.0803,0.0024,0.0771,0.1104,0.1242,0.1057,0.0626,0.0762,0.1818,0.1588,0.0693,0.1410,0.0914,0.0032,0.1097,0.0999,-0.0199,0.1954,0.1856,0.1812,0.2135,0.1045,0.1971,0.2334,0.2205,0.2230,0.1594,0.2965,0.2359,0.0175,0.0926,0.0358,0.0039,0.0178,0.1155,0.1517,0.1203,0.1521,0.1115
R010,0.7035,0.6755,0.7199,0.7231,0.7078,0.7158,0.7245,0.7039,0.7431,1.0000,0.7216,0.7142,0.7339,0.7012,0.7232,0.7360,0.7566,0.7197,0.1287,0.0961,0.1129,0.0434,0.3772,0.4375,0.4193,0.3297,0.4349,0.4017,0.1608,0.1164,0.1522,0.1510,0.1356,0.1694,0.1370,0.1358,0.1876,0.1162,0.3146,0.4160,0.3467,0.3275,0.3716,0.3152,0.3656,0.3108,0.4230,0.3660,0.3263,0.3256,0.1506,0.0925,0.0257,0.0889,0.0998,0.1118,0.0912,0.1251,0.0536,0.1452,0.1629,0.1401,0.1642,0.1372,-0.0283,0.0954,0.0857,0.0154,0.1992,0.1254,0.2206,0.2021,0.1372,0.1596,0.2357,0.1775,0.2003,0.1883,0.2632,0.2347,0.0768,0.1972,0.0581,0.0500,0.0690,0.1680,0.1732,0.1621,0.2102,0.1517
