,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R001,1.0000,0.6413,0.7093,0.7514,0.6982,0.7186,0.7239,0.7319,0.7447,0.6561,0.7013,0.8143,0.7259,0.6921,0.6878,0.6843,0.7081,0.7719,0.3324,0.2244,0.2676,0.2334,0.4800,0.3719,0.4777,0.3094,0.4564,0.4347,0.0929,0.0395,0.0547,-0.0081,0.0326,0.0836,0.0511,0.1195,0.1048,0.0221,0.4918,0.4618,0.4049,0.4810,0.4714,0.2937,0.5167,0.3052,0.5141,0.4327,0.2995,0.4070,-0.0748,0.0744,-0.1506,-0.0931,-0.0103,-0.1309,-0.0175,-0.0360,-0.2301,0.0050,-0.0277,0.0248,0.0806,-0.0800,-0.1576,0.0234,-0.0385,-0.1237,0.2012,0.1458,0.2315,0.0793,0.2356,0.1485,0.2331,0.1512,0.1191,0.1815,0.1447,0.2446,0.0455,0.1280,-0.0948,0.0290,0.0748,0.0812,0.1772,0.1700,0.1327,0.0670
R002,0.6413,1.0000,0.5852,0.5975,0.5940,0.6276,0.5724,0.7056,0.5912,0.5701,0.5781,0.6393,0.6053,0.5314,0.6148,0.5811,0.5635,0.5907,0.1463,0.1027,0.2101,0.1961,0.3648,0.3306,0.3377,0.2059,0.3094,0.3000,0.2372,0.1273,0.1550,0.1006,0.1957,0.1908,0.1136,0.2226,0.1725,0.1522,0.3755,0.3591,0.4430,0.4024,0.3919,0.2804,0.3402,0.1968,0.3907,0.3424,0.2652,0.3804,0.0681,0.1457,-0.0996,-0.0202,0.1301,-0.0132,0.0392,0.0980,0.0191,0.0931,0.1341,-0.0172,0.1532,0.0258,0.0006,0.0907,0.0180,0.0097,0.2541,0.2447,0.1661,0.1745,0.2401,0.1448,0.2350,0.1904,0.2339,0.1921,0.2258,0.1643,0.1047,0.1077,0.0091,0.1064,0.1607,0.1108,0.1335,0.2207,0.1720,0.1184
R003,0.7093,0.5852,1.0000,0.6212,0.6228,0.5380,0.6516,0.6059,0.6494,0.6203,0.6607,0.6870,0.6045,0.5806,0.6237,0.5912,0.6287,0.6953,0.1709,0.1214,0.1881,0.1551,0.3330,0.3481,0.3707,0.1998,0.3100,0.3516,0.2324,0.0770,0.1594,0.0845,0.1660,0.1589,0.1290,0.2109,0.1594,0.1168,0.4212,0.4811,0.4446,0.3949,0.4801,0.2672,0.4431,0.2850,0.5459,0.3868,0.2357,0.4271,-0.0016,0.0746,-0.1227,-0.0856,-0.0192,-0.1301,-0.0266,-0.0204,-0.0875,-0.0794,-0.0214,0.0486,0.0099,-0.1210,-0.1109,-0.0142,-0.0401,-0.1280,0.1518,0.1789,0.1982,0.1358,0.2308,0.1026,0.2058,0.1396,0.1090,0.1217,0.0989,0.1790,0.0942,0.0654,-0.0122,0.0567,0.1206,0.0747,0.2107,0.2148,0.1823,0.1030
R004,0.7514,0.5975,0.6212,1.0000,0.6587,0.6574,0.6576,0.6354,0.6957,0.6797,0.5872,0.7859,0.7482,0.6525,0.6656,0.6277,0.6854,0.6913,0.2613,0.1985,0.2119,0.1813,0.4992,0.4944,0.5069,0.3898,0.4794,0.4800,0.2250,0.1600,0.1357,0.1150,0.1919,0.1814,0.1875,0.2136,0.1776,0.1603,0.4997,0.5304,0.4941,0.5002,0.5108,0.3494,0.5449,0.3749,0.5356,0.4784,0.3406,0.4861,0.0121,0.1766,-0.1216,0.0253,0.1641,-0.1049,0.1242,0.0590,0.0326,0.1464,0.0548,0.1343,0.2207,0.0089,0.0330,0.0870,0.0161,-0.0517,0.1256,0.1427,0.1434,0.0444,0.1291,0.1466,0.1575,0.0991,0.0854,0.0774,0.1710,0.1468,0.0436,0.1093,-0.0739,0.0068,0.0444,0.0301,0.1673,0.1862,0.1715,0.0227
R005,0.6982,0.5940,0.6228,0.6587,1.0000,0.6850,0.6847,0.6476,0.7424,0.6461,0.6545,0.6913,0.6617,0.6396,0.5783,0.6479,0.6592,0.6738,0.2685,0.2645,0.2636,0.2586,0.4297,0.3892,0.3251,0.2242,0.3997,0.4039,0.1275,0.1011,0.0692,0.0618,0.0874,0.1098,0.0917,0.1117,0.1211,0.1051,0.4767,0.3620,0.3170,0.3789,0.3663,0.2484,0.3516,0.3060,0.4529,0.2735,0.2517,0.3455,-0.0725,0.1097,-0.0697,-0.0807,-0.0176,-0.0531,0.0179,0.0419,-0.1083,0.0656,0.0238,-0.0029,0.1027,-0.0397,-0.1374,-0.0165,-0.0989,-0.1502,0.1206,0.1350,0.1520,0.0506,0.1781,0.0694,0.2024,0.1187,0.2149,0.0678,0.1167,0.1761,0.0316,0.0201,-0.0815,0.0161,0.0368,0.0643,0.1241,0.1481,0.1417,0.0151
R006,0.7186,0.6276,0.5380,0.6574,0.6850,1.0000,0.7004,0.6716,0.6630,0.6560,0.6660,0.7039,0.6877,0.6549,0.6158,0.6874,0.6546,0.6818,0.3029,0.2841,0.2811,0.2737,0.4424,0.4115,0.4269,0.3603,0.4156,0.3987,0.1479,0.1197,0.0814,0.0745,0.0437,0.0915,0.1266,0.1359,0.1240,0.0817,0.4703,0.4176,0.3926,0.4499,0.4326,0.2945,0.4123,0.3391,0.4546,0.3454,0.2735,0.3668,0.0491,0.1397,-0.0497,-0.0484,0.0953,-0.0347,0.0695,0.1017,-0.0877,0.1113,0.1392,0.1482,0.1713,0.0605,-0.0772,0.0976,0.0644,-0.0141,0.2396,0.1150,0.2695,0.1516,0.2988,0.1726,0.2167,0.2041,0.2315,0.2317,0.2135,0.2359,0.2738,0.3091,0.0962,0.2563,0.2505,0.2929,0.3495,0.3945,0.3362,0.2627
R007,0.7239,0.5724,0.6516,0.6576,0.6847,0.7004,1.0000,0.6841,0.6954,0.6912,0.6998,0.7092,0.7309,0.6538,0.6142,0.7097,0.6812,0.6981,0.1692,0.1315,0.1615,0.1208,0.4275,0.3376,0.4231,0.2917,0.3967,0.3847,0.1222,0.0954,0.1129,0.0550,0.0522,0.0901,0.0414,0.0941,0.1301,0.0320,0.3901,0.4244,0.3609,0.3948,0.4400,0.2674,0.4315,0.2915,0.4556,0.3656,0.2025,0.3624,-0.1171,-0.0456,-0.2248,-0.1693,-0.1109,-0.1509,-0.1306,-0.0437,-0.2359,-0.1081,-0.1216,-0.0811,0.0552,-0.1969,-0.1653,-0.0925,-0.1549,-0.2543,0.2639,0.2808,0.3559,0.2353,0.3004,0.2767,0.3347,0.3220,0.2768,0.2826,0.2800,0.3466,0.1033,0.0784,-0.0457,0.0414,0.0873,0.0323,0.2380,0.1445,0.2014,0.1190
R008,0.7319,0.7056,0.6059,0.6354,0.6476,0.6716,0.6841,1.0000,0.6559,0.6270,0.6984,0.6788,0.7281,0.6385,0.6413,0.6052,0.6966,0.6532,0.3525,0.3459,0.3842,0.2643,0.4495,0.3857,0.4583,0.2833,0.4216,0.3925,0.0840,-0.0052,0.0244,-0.0086,0.0089,0.0052,0.0324,0.0575,0.0406,-0.0261,0.4376,0.4234,0.4107,0.4563,0.4908,0.2673,0.4555,0.1908,0.4501,0.3830,0.2933,0.3734,-0.1068,-0.1070,-0.2020,-0.2245,-0.1056,-0.1607,-0.0774,-0.0117,-0.1893,-0.1237,-0.1013,-0.0722,0.0024,-0.1023,-0.2614,-0.0518,-0.1001,-0.1503,0.3077,0.2357,0.2790,0.1985,0.3536,0.2202,0.2614,0.2712,0.3161,0.1970,0.2545,0.2863,0.2110,0.2172,0.0200,0.1353,0.0970,0.1521,0.2487,0.1972,0.2560,0.1832
R009,0.7447,0.5912,0.6494,0.6957,0.7424,0.6630,0.6954,0.6559,1.0000,0.6490,0.6339,0.7520,0.6821,0.5567,0.6660,0.6543,0.6516,0.7249,0.1990,0.1033,0.1059,0.1760,0.3847,0.3589,0.4079,0.2739,0.4423,0.3693,0.2063,0.1684,0.1314,0.0392,0.1339,0.1014,0.1285,0.1058,0.1118,0.1050,0.4875,0.4725,0.4194,0.4572,0.4803,0.3606,0.5038,0.3873,0.5436,0.4143,0.3708,0.4792,-0.0210,0.1109,-0.1132,-0.0702,-0.0085,-0.1137,0.0463,-0.0517,-0.0908,0.1012,-0.0079,-0.0195,0.0389,-0.1003,-0.1068,-0.0180,-0.0889,-0.1638,0.2015,0.2414,0.2038,0.1502,0.2263,0.1667,0.2270,0.1594,0.1806,0.1444,0.2175,0.2541,0.0070,0.0425,-0.0983,0.0159,0.0074,0.0010,0.1865,0.1335,0.1298,0.0569
R010,0.6561,0.5701,0.6203,0.6797,0.6461,0.6560,0.6912,0.6270,0.6490,1.0000,0.6354,0.6807,0.7080,0.6369,0.6261,0.6848,0.7044,0.6510,0.3121,0.1971,0.2840,0.2574,0.3739,0.3847,0.3503,0.2669,0.3869,0.3777,0.0796,0.0251,0.0536,0.0006,0.0683,0.0812,0.0454,0.0977,0.0607,0.0457,0.4017,0.4117,0.4040,0.3861,0.4116,0.3298,0.4332,0.3295,0.5484,0.3814,0.3291,0.3809,-0.0447,0.1033,-0.0864,-0.0336,-0.0213,-0.1564,-0.0476,0.0186,-0.1631,-0.0020,0.0099,0.0454,0.0586,-0.0312,-0.1282,-0.0386,-0.1559,-0.1129,0.2565,0.2146,0.2929,0.1571,0.2490,0.1715,0.2616,0.1298,0.1900,0.1792,0.2139,0.2321,0.0872,0.1480,-0.0872,0.0727,0.0480,0.0747,0.1851,0.1204,0.2039,0.0782
