,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R001,1.0000,0.7351,0.6801,0.7532,0.6968,0.7051,0.7114,0.6619,0.7616,0.7035,0.7052,0.7237,0.6866,0.7615,0.1007,0.1386,0.1660,0.1086,0.0512,0.0808,0.0614,0.0994,0.0872,0.0516,0.1452,0.1567,0.3844,0.4020,0.4040,0.4134,0.4663,0.3825,0.4208,0.4357,0.3815,0.3871,0.1460,0.2098,0.1213,0.1529,0.1388,0.1574,0.0965,0.1673,0.0657,0.2276,0.1580,0.1746,0.0756,0.1205,0.2832,0.4175,0.4228,0.4644,0.3728,0.3123,0.4206,0.1956,0.3427,0.3734,0.1417,0.1847,0.1018,0.1311,0.1167,0.2066,0.0928,0.1113
R002,0.7351,1.0000,0.6985,0.7553,0.7003,0.7281,0.7451,0.6669,0.7592,0.7575,0.7467,0.7523,0.6634,0.7518,-0.0940,-0.0592,-0.0312,-0.1126,-0.1132,-0.0983,-0.1043,-0.0665,-0.1099,-0.1408,-0.0730,-0.0374,0.3645,0.4083,0.4261,0.3850,0.4153,0.3656,0.3841,0.4018,0.3708,0.3385,0.2484,0.3285,0.2387,0.2009,0.2708,0.3062,0.2063,0.2313,0.1887,0.3337,0.2648,0.3159,0.2024,0.2366,0.2796,0.4301,0.3767,0.4436,0.3045,0.3194,0.3624,0.2303,0.3388,0.3651,0.1648,0.2057,0.1525,0.1416,0.1392,0.2625,0.1396,0.0899
R003,0.6801,0.6985,1.0000,0.7554,0.6885,0.7519,0.7157,0.7278,0.6971,0.7185,0.7173,0.7251,0.6744,0.7115,0.0037,0.0468,0.0175,-0.0058,-0.0168,-0.0395,-0.0422,-0.0119,-0.0443,-0.0623,0.0042,0.0296,0.3950,0.4261,0.4230,0.3969,0.4193,0.3661,0.3984,0.4432,0.3646,0.3667,0.2103,0.2480,0.1913,0.1588,0.2138,0.2389,0.1327,0.1953,0.0963,0.2603,0.2163,0.2594,0.1214,0.1679,0.2376,0.3028,0.3238,0.3851,0.2912,0.1732,0.3105,0.2158,0.2907,0.3384,0.0731,0.1370,0.0686,0.0428,0.0475,0.1484,0.0094,0.0311
R004,0.7532,0.7553,0.7554,1.0000,0.7196,0.7581,0.7574,0.7066,0.7731,0.7380,0.7806,0.7642,0.6791,0.7525,0.0496,0.0928,0.1131,0.0337,-0.0037,0.0180,0.0590,0.0642,0.0048,-0.0081,0.0673,0.1343,0.3013,0.3524,0.3406,0.3339,0.3787,0.3165,0.2996,0.3676,0.3022,0.3017,0.1904,0.2473,0.2072,0.1865,0.1946,0.2440,0.1535,0.1822,0.1336,0.2521,0.1877,0.2794,0.1355,0.1593,0.2646,0.3579,0.3473,0.3936,0.3213,0.2463,0.3750,0.1851,0.3078,0.3482,0.0476,0.0623,0.0135,0.0320,0.0169,0.1225,0.0015,-0.0399
R005,0.6968,0.7003,0.6885,0.7196,1.0000,0.7002,0.6903,0.6954,0.7192,0.7248,0.7774,0.6915,0.6670,0.7092,0.0268,0.0706,0.0820,0.0060,-0.0232,-0.0296,-0.0109,0.0318,0.0236,0.0056,0.0274,0.0851,0.3779,0.3758,0.3952,0.3631,0.4404,0.3896,0.3800,0.4051,0.3596,0.3593,0.1324,0.1603,0.1379,0.1240,0.1249,0.1550,0.1186,0.1340,0.0677,0.1969,0.1274,0.1660,0.0493,0.1134,0.1874,0.2848,0.3140,0.3477,0.2980,0.1981,0.2911,0.1809,0.2780,0.2814,0.0992,0.1704,0.0815,0.1062,0.0463,0.1698,0.0503,0.0043
R006,0.7051,0.7281,0.7519,0.7581,0.7002,1.0000,0.7290,0.7025,0.7255,0.7426,0.7408,0.7230,0.6783,0.7344,0.0158,0.0415,0.0691,0.0432,-0.0355,-0.0282,0.0185,0.0062,0.0014,-0.0516,0.0216,0.0829,0.4071,0.4296,0.4103,0.4132,0.4501,0.4089,0.3617,0.4518,0.3612,0.3799,0.2157,0.2640,0.2376,0.1836,0.1974,0.2252,0.1885,0.1985,0.1013,0.2981,0.1676,0.2530,0.1079,0.1962,0.2741,0.3777,0.4158,0.4360,0.3164,0.2774,0.3877,0.2692,0.3601,0.3676,0.0825,0.1357,0.0624,0.0665,0.0845,0.1254,0.0136,0.0416
R007,0.7114,0.7451,0.7157,0.7574,0.6903,0.7290,1.0000,0.6900,0.7370,0.7441,0.7360,0.7170,0.6787,0.7518,0.0489,0.1368,0.1225,0.0371,-0.0075,0.0164,0.0311,0.0727,0.0444,-0.0081,0.0950,0.1373,0.4297,0.4491,0.4454,0.4322,0.4690,0.3907,0.4109,0.4488,0.4100,0.4127,0.1529,0.2382,0.1503,0.1472,0.1625,0.1739,0.1275,0.1628,0.0908,0.2357,0.1423,0.2335,0.1051,0.0934,0.2870,0.3669,0.4187,0.4365,0.3297,0.2520,0.3853,0.2460,0.2996,0.3754,0.1300,0.1836,0.0782,0.0969,0.1037,0.2019,0.0589,0.0800
R008,0.6619,0.6669,0.7278,0.7066,0.6954,0.7025,0.6900,1.0000,0.7152,0.7369,0.6928,0.7095,0.6476,0.7056,0.0182,0.0912,0.1082,0.0199,0.0056,-0.0084,0.0034,0.0650,0.0361,-0.0004,0.1149,0.1295,0.3249,0.3430,0.3081,0.3453,0.3649,0.3059,0.3229,0.3781,0.2884,0.3146,0.1385,0.1706,0.1042,0.1333,0.1331,0.2165,0.0949,0.0953,0.0459,0.1936,0.1156,0.1600,0.0732,0.0754,0.1668,0.2809,0.3197,0.3481,0.2702,0.2131,0.2718,0.1534,0.2860,0.2865,0.1300,0.1687,0.0733,0.0756,0.0578,0.1675,0.0339,0.0453
R009,0.7616,0.7592,0.6971,0.7731,0.7192,0.7255,0.7370,0.7152,1.0000,0.7701,0.7613,0.7494,0.6816,0.7131,0.0386,0.1266,0.1291,0.0359,0.0280,0.0265,0.0390,0.0898,0.0333,0.0017,0.1207,0.1421,0.4107,0.4200,0.4502,0.4401,0.4547,0.4112,0.4141,0.4649,0.4136,0.3810,0.1504,0.2330,0.1546,0.1530,0.1482,0.2017,0.1282,0.1511,0.0995,0.2327,0.1604,0.2265,0.1297,0.1308,0.2997,0.4171,0.4151,0.4638,0.3553,0.3030,0.3654,0.2522,0.3240,0.3829,0.0742,0.0789,0.0113,0.0422,0.0553,0.1710,0.0248,0.0023
R010,0.7035,0.7575,0.7185,0.7380,0.7248,0.7426,0.7441,0.7369,0.7701,1.0000,0.7880,0.7079,0.7105,0.7364,-0.0887,-0.0030,0.0108,-0.1205,-0.0792,-0.1271,-0.1055,-0.0581,-0.0900,-0.1157,-0.0421,0.0053,0.3209,0.3882,0.3841,0.3647,0.4269,0.3634,0.3890,0.4232,0.3522,0.3155,0.1342,0.1731,0.1019,0.0932,0.1062,0.1425,0.0743,0.0901,0.0091,0.1745,0.0972,0.1747,0.0511,0.0662,0.2230,0.3033,0.3263,0.3388,0.2508,0.1821,0.3047,0.1603,0.2975,0.2966,0.1321,0.1058,0.0563,0.0633,0.0898,0.2685,0.0309,0.0758
R011,0.7052,0.7467,0.7173,0.7806,0.7774,0.7408,0.7360,0.6928,0.7613,0.7880,1.0000,0.7497,0.6711,0.7690,-0.0166,0.0316,0.0425,-0.0059,-0.0418,-0.0304,-0.0365,0.0044,-0.0331,-0.0536,-0.0056,0.0734,0.3943,0.4505,0.4500,0.4577,0.4838,0.4166,0.4328,0.4743,0.4256,0.4021,0.1681,0.2290,0.1358,0.1477,0.1770,0.2237,0.1287,0.1564,0.0866,0.2395,0.1442,0.2566,0.0839,0.1351,0.2478,0.3764,0.3653,0.3896,0.2742,0.2580,0.3217,0.1850,0.3021,0.3571,0.1544,0.1538,0.0669,0.0731,0.0701,0.2243,0.0836,0.0559
R012,0.7237,0.7523,0.7251,0.7642,0.6915,0.7230,0.7170,0.7095,0.7494,0.7079,0.7497,1.0000,0.6854,0.7210,0.0977,0.1484,0.1351,0.1002,0.0696,0.0670,0.0862,0.1275,0.0847,0.0496,0.1539,0.1603,0.4333,0.4489,0.4495,0.4828,0.5042,0.4661,0.4649,0.4985,0.4169,0.4401,0.2195,0.2743,0.2213,0.1680,0.2304,0.2999,0.2282,0.2082,0.1774,0.3370,0.2376,0.2940,0.1749,0.2297,0.2982,0.4218,0.4225,0.4822,0.3646,0.3091,0.3780,0.2088,0.3304,0.4050,0.1039,0.1447,0.1042,0.0688,0.0559,0.1681,0.0602,0.0687
R013,0.6866,0.6634,0.6744,0.6791,0.6670,0.6783,0.6787,0.6476,0.6816,0.7105,0.6711,0.6854,1.0000,0.6943,-0.0148,0.0603,0.1003,0.0066,0.0132,0.0196,-0.0228,0.0280,-0.0225,-0.0493,0.0606,0.0835,0.2776,0.3025,0.2885,0.3061,0.3497,0.2736,0.2887,0.3232,0.2328,0.2736,0.1667,0.1952,0.1315,0.1499,0.1607,0.1675,0.1076,0.1456,0.0521,0.1923,0.1418,0.1907,0.1140,0.1347,0.2977,0.3957,0.3530,0.4057,0.3429,0.2809,0.3923,0.1811,0.3070,0.3339,0.1377,0.1361,0.0525,0.0990,0.1206,0.1983,0.0597,0.0696
R014,0.7615,0.7518,0.7115,0.7525,0.7092,0.7344,0.7518,0.7056,0.7131,0.7364,0.7690,0.7210,0.6943,1.0000,0.0243,0.0677,0.1116,0.0192,0.0345,0.0166,0.0045,0.0395,0.0001,-0.0292,0.0823,0.0193,0.3553,0.3526,0.3419,0.3287,0.3776,0.3257,0.3527,0.3661,0.3124,0.3227,0.1746,0.2049,0.1134,0.0952,0.1757,0.1801,0.1213,0.1162,0.0656,0.2254,0.1434,0.1928,0.0787,0.1076,0.2169,0.3522,0.3104,0.3680,0.3129,0.1919,0.3552,0.1561,0.2714,0.3365,0.1653,0.1642,0.0966,0.1319,0.1132,0.1860,0.1089,0.0806
R015,0.1007,-0.0940,0.0037,0.0496,0.0268,0.0158,0.0489,0.0182,0.0386,-0.0887,-0.0166,0.0977,-0.0148,0.0243,1.0000,0.7093,0.6587,0.6908,0.6845,0.7359,0.7165,0.7099,0.7028,0.6984,0.6226,0.6543,0.2720,0.1768,0.1200,0.2027,0.2089,0.2209,0.2536,0.2566,0.1687,0.2189,0.0973,0.0891,0.1297,0.1204,0.0151,0.0512,0.1735,0.0573,0.1150,0.0992,0.0298,-0.0490,0.0859,0.0503,0.1879,0.1672,0.2072,0.1775,0.2133,0.0746,0.1638,0.1241,0.1757,0.1925,0.0272,0.0447,0.0038,-0.0935,0.0380,-0.1224,-0.0471,0.0084
R016,0.1386,-0.0592,0.0468,0.0928,0.0706,0.0415,0.1368,0.0912,0.1266,-0.0030,0.0316,0.1484,0.0603,0.0677,0.7093,1.0000,0.7317,0.7362,0.6797,0.7298,0.7050,0.7745,0.7605,0.7019,0.6916,0.6580,0.2825,0.2264,0.1624,0.3010,0.2368,0.2425,0.2458,0.3150,0.1922,0.2910,0.1477,0.0920,0.1304,0.1589,0.0438,0.1075,0.1765,0.1154,0.1356,0.1128,0.0619,0.0167,0.1207,0.0637,0.2485,0.1839,0.2277,0.1963,0.2369,0.1253,0.1728,0.1341,0.1666,0.2226,0.0262,-0.0573,-0.0853,-0.1635,-0.0001,-0.1023,-0.0857,-0.0432
R017,0.1660,-0.0312,0.0175,0.1131,0.0820,0.0691,0.1225,0.1082,0.1291,0.0108,0.0425,0.1351,0.1003,0.1116,0.6587,0.7317,1.0000,0.7426,0.7212,0.7743,0.7802,0.7500,0.7511,0.6760,0.7050,0.7360,0.1994,0.1498,0.0657,0.1893,0.1641,0.1975,0.1715,0.2165,0.1195,0.2208,0.1456,0.1364,0.1337,0.1385,0.0251,0.1154,0.1335,0.0999,0.1562,0.1505,0.0826,0.0598,0.1335,0.0761,0.2407,0.2231,0.2662,0.2097,0.2928,0.1483,0.2108,0.1873,0.2428,0.2341,0.0432,0.0267,-0.0378,-0.0755,0.0356,-0.0754,-0.0684,-0.0160
