,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R001,1.0000,0.6410,0.5968,0.7216,0.6637,0.6171,0.6367,0.5928,0.7343,0.6386,0.6211,0.6754,0.6220,0.7174,0.3296,0.2466,0.2916,0.2652,0.3343,0.2790,0.3063,0.3076,0.3164,0.3199,0.3147,0.2137,0.3401,0.2683,0.3297,0.3248,0.4432,0.3561,0.3451,0.3740,0.3490,0.3295,0.0117,0.0681,-0.0493,-0.0053,0.0897,-0.0172,-0.0243,-0.0416,-0.0414,0.0980,0.0445,0.0008,-0.0723,-0.0707,0.3450,0.4517,0.5067,0.5374,0.4844,0.3988,0.5303,0.2370,0.4256,0.4951,-0.0301,0.0155,-0.0423,-0.0042,-0.0061,0.0247,-0.0849,-0.0894
R002,0.6410,1.0000,0.6625,0.7072,0.7076,0.6751,0.6936,0.6040,0.7340,0.7059,0.6966,0.7607,0.5515,0.6915,0.1329,0.0404,0.0200,0.0379,0.1392,0.0827,0.1186,0.1422,0.1044,0.1014,0.0346,-0.0505,0.4247,0.4194,0.5051,0.4168,0.4630,0.4760,0.3784,0.4537,0.4740,0.4008,0.1965,0.2715,0.2080,0.1271,0.3118,0.2795,0.1983,0.1063,0.2058,0.3178,0.2552,0.2325,0.1779,0.1923,0.3319,0.4456,0.4365,0.5333,0.3608,0.3834,0.4067,0.2866,0.3818,0.4693,-0.0078,0.0675,0.0862,-0.0834,0.0054,0.1235,-0.0322,-0.1048
R003,0.5968,0.6625,1.0000,0.6629,0.6712,0.6765,0.6767,0.6587,0.6238,0.6516,0.6362,0.7249,0.5987,0.6350,0.1422,0.0546,0.0262,0.0603,0.1027,0.0965,0.1034,0.1233,0.0513,0.0990,0.0365,-0.0033,0.4816,0.4299,0.5027,0.4217,0.4968,0.4222,0.4484,0.4867,0.4769,0.4308,0.2373,0.2221,0.1778,0.1249,0.3132,0.2204,0.1528,0.1503,0.1397,0.2957,0.2742,0.2423,0.1214,0.1612,0.2720,0.3345,0.3750,0.4631,0.4106,0.2432,0.3672,0.2822,0.3774,0.4799,-0.0423,0.1061,0.0487,-0.0567,-0.0036,0.0743,-0.0784,-0.0859
R004,0.7216,0.7072,0.6629,1.0000,0.7179,0.6763,0.7094,0.6071,0.7438,0.6675,0.7654,0.7555,0.5744,0.7202,0.2362,0.1577,0.1756,0.1346,0.1915,0.2299,0.2422,0.2479,0.1683,0.2353,0.1782,0.1516,0.3152,0.2891,0.3702,0.3119,0.4122,0.3290,0.2787,0.3454,0.3260,0.3016,0.1690,0.1934,0.1661,0.1176,0.2506,0.1713,0.1353,0.0982,0.1728,0.2426,0.2022,0.2418,0.1044,0.1024,0.3348,0.4172,0.3792,0.4767,0.4401,0.3658,0.4511,0.2428,0.3862,0.4950,-0.0917,-0.0406,-0.0290,-0.0567,-0.0144,0.0568,-0.0667,-0.1832
R005,0.6637,0.7076,0.6712,0.7179,1.0000,0.6699,0.6916,0.6780,0.7196,0.7040,0.7719,0.7316,0.6071,0.6974,0.1498,0.1201,0.0892,0.1102,0.1704,0.1325,0.1411,0.1661,0.1395,0.2061,0.1248,0.1084,0.4537,0.3763,0.4506,0.4053,0.4734,0.4710,0.3850,0.4335,0.4151,0.4422,0.1191,0.0832,0.0687,0.0500,0.1844,0.0976,0.0753,0.0609,0.0838,0.2023,0.1207,0.1050,-0.0016,0.0219,0.3233,0.3800,0.4530,0.4766,0.3837,0.3231,0.4146,0.2883,0.4014,0.4354,0.0616,0.1640,0.1164,0.0802,-0.0186,0.1789,0.0521,0.0066
R006,0.6171,0.6751,0.6765,0.6763,0.6699,1.0000,0.6360,0.6008,0.6257,0.6312,0.6551,0.6837,0.5688,0.6597,0.1743,0.0781,0.0886,0.1213,0.1067,0.1166,0.1749,0.1611,0.1113,0.1656,0.0761,0.0374,0.4637,0.3673,0.4400,0.3830,0.4960,0.4760,0.3107,0.4690,0.4105,0.4216,0.1974,0.2324,0.2290,0.1293,0.2630,0.1753,0.1783,0.1417,0.1216,0.2976,0.1656,0.2112,0.0840,0.1827,0.3377,0.4129,0.4915,0.5418,0.4366,0.4170,0.4952,0.3442,0.4723,0.5080,-0.0317,0.1064,0.0500,0.0116,0.0968,0.0588,-0.0459,-0.0399
R007,0.6367,0.6936,0.6767,0.7094,0.6916,0.6360,1.0000,0.6261,0.7170,0.7027,0.7079,0.6982,0.6225,0.6921,0.2484,0.2507,0.1842,0.1376,0.2117,0.1966,0.1999,0.2431,0.1932,0.2207,0.1999,0.1363,0.4726,0.4015,0.4475,0.4117,0.4932,0.4450,0.3954,0.4409,0.4172,0.4466,0.0651,0.0774,0.0432,-0.0022,0.1479,0.0532,0.0289,0.0028,0.0445,0.1481,0.0523,0.1135,-0.0229,-0.0691,0.3676,0.3780,0.4738,0.5090,0.4148,0.3278,0.4482,0.3318,0.3098,0.4895,-0.0331,0.0864,0.0078,-0.0552,0.0262,0.1454,-0.0915,-0.0372
R008,0.5928,0.6040,0.6587,0.6071,0.6780,0.6008,0.6261,1.0000,0.6748,0.6687,0.6342,0.7319,0.5510,0.6310,0.2597,0.1736,0.1907,0.1560,0.2617,0.2155,0.2103,0.2574,0.2563,0.2721,0.2771,0.1966,0.4401,0.3133,0.3772,0.4259,0.4905,0.3855,0.4042,0.4316,0.4049,0.3960,0.0887,0.1167,0.0406,0.0738,0.1763,0.1903,0.0734,0.0081,0.0488,0.1854,0.1101,0.0667,0.0571,0.0226,0.1948,0.3194,0.3935,0.4388,0.4078,0.3247,0.3287,0.1762,0.3892,0.4145,0.0720,0.1097,0.0475,-0.0009,0.0281,0.1366,-0.0489,-0.0257
R009,0.7343,0.7340,0.6238,0.7438,0.7196,0.6257,0.7170,0.6748,1.0000,0.7512,0.7297,0.7559,0.6103,0.6913,0.2332,0.2253,0.1945,0.1422,0.2489,0.2145,0.2563,0.2904,0.2283,0.2495,0.2329,0.1423,0.3955,0.3246,0.4424,0.4006,0.4421,0.4109,0.3970,0.4416,0.4083,0.3689,-0.0050,0.0648,-0.0195,-0.0283,0.0940,0.0289,0.0118,-0.0456,0.0146,0.1113,0.0462,0.0587,0.0106,-0.0601,0.3720,0.4806,0.4894,0.5373,0.4546,0.4163,0.4622,0.3119,0.4022,0.4988,-0.0925,-0.0593,-0.0679,-0.1107,-0.0328,0.0758,-0.1133,-0.1839
R010,0.6386,0.7059,0.6516,0.6675,0.7040,0.6312,0.7027,0.6687,0.7512,1.0000,0.7332,0.7015,0.6208,0.6507,0.0548,0.1120,0.0269,-0.0302,0.1047,0.0426,0.0680,0.1282,0.0826,0.1294,0.0671,0.0160,0.3878,0.3850,0.4722,0.4186,0.5214,0.4608,0.4395,0.5146,0.4722,0.3902,-0.0025,-0.0218,-0.0754,-0.0755,0.0366,-0.0210,-0.0551,-0.1298,-0.0984,0.0790,-0.0232,-0.0081,-0.0838,-0.1052,0.2720,0.2947,0.3885,0.4469,0.3462,0.3037,0.3762,0.1977,0.3532,0.4181,0.0247,-0.0158,-0.0094,-0.0919,-0.0068,0.2041,-0.0853,-0.0515
