,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R001,1.0000,0.7646,0.7481,0.7979,0.1940,0.3226,0.3334,0.2618,-0.0628,-0.0265,-0.0150,0.0050,0.3324,0.3101,0.1810,0.2035,0.2292,0.2219,0.2299,0.1916,0.2851,0.3304,0.2874,0.2792,0.2629,0.2351,0.1710,0.0795,0.1466,0.1642,0.0896,0.1312,0.1367
R002,0.7646,1.0000,0.7483,0.7963,0.0902,0.2015,0.2461,0.1651,-0.0558,-0.0429,-0.0144,-0.0012,0.2661,0.2223,0.1298,0.1605,0.1643,0.1547,0.1555,0.1418,0.1838,0.2393,0.2312,0.2141,0.1720,0.1949,0.1373,0.0566,0.0971,0.1157,0.0106,0.0362,0.0499
R003,0.7481,0.7483,1.0000,0.7887,0.1510,0.2351,0.2637,0.2090,0.0434,0.0594,0.0995,0.0984,0.3653,0.3418,0.2172,0.2303,0.2325,0.2063,0.2334,0.2567,0.2108,0.2043,0.1874,0.1931,0.1749,0.1264,0.1049,0.0342,0.0870,0.0803,0.0265,0.0396,0.0489
R004,0.7979,0.7963,0.7887,1.0000,0.0961,0.2032,0.2370,0.1927,0.0018,0.0401,0.0615,0.0526,0.3536,0.3149,0.2076,0.2367,0.2700,0.2251,0.2526,0.2301,0.1799,0.2180,0.1861,0.1663,0.1989,0.1543,0.1611,0.0660,0.1198,0.1143,0.0441,0.0121,0.0485
R005,0.1940,0.0902,0.1510,0.0961,1.0000,0.7548,0.7809,0.7698,0.1020,0.1565,0.1679,0.2013,0.2946,0.3464,0.1262,0.1537,0.2266,0.1923,0.1074,0.0845,0.3058,0.2255,0.2064,0.2366,0.2738,0.1839,0.2307,0.1865,0.1949,0.1702,0.1771,0.1484,0.2640
R006,0.3226,0.2015,0.2351,0.2032,0.7548,1.0000,0.7627,0.7737,0.0577,0.1019,0.1301,0.1590,0.1841,0.2582,0.0726,0.1554,0.1883,0.1606,0.0938,0.0602,0.2487,0.2193,0.1843,0.1899,0.2424,0.1697,0.2306,0.1721,0.1912,0.1872,0.1129,0.0857,0.1493
R007,0.3334,0.2461,0.2637,0.2370,0.7809,0.7627,1.0000,0.7873,0.0378,0.0882,0.1066,0.1447,0.2441,0.3326,0.0766,0.1292,0.1851,0.1526,0.1173,0.0596,0.2725,0.2068,0.1892,0.2129,0.2480,0.1770,0.1838,0.1327,0.1247,0.1297,0.1679,0.0788,0.2096
R008,0.2618,0.1651,0.2090,0.1927,0.7698,0.7737,0.7873,1.0000,0.0529,0.1209,0.1421,0.1615,0.2007,0.3026,0.1561,0.2102,0.2509,0.2130,0.1943,0.1173,0.2819,0.2087,0.1986,0.2017,0.2514,0.2076,0.2598,0.2323,0.2643,0.2276,0.1184,0.0679,0.1523
R009,-0.0628,-0.0558,0.0434,0.0018,0.1020,0.0577,0.0378,0.0529,1.0000,0.8182,0.8095,0.8370,0.1437,0.1568,0.1717,0.1655,0.0762,0.1160,0.1327,0.1893,0.1597,0.1318,0.1218,0.1516,0.1138,-0.0128,-0.0020,0.0427,-0.0555,-0.1105,-0.0061,-0.0436,0.0174
R010,-0.0265,-0.0429,0.0594,0.0401,0.1565,0.1019,0.0882,0.1209,0.8182,1.0000,0.8106,0.8195,0.1972,0.2387,0.2745,0.2850,0.1923,0.2326,0.2184,0.3036,0.1954,0.1691,0.1608,0.1569,0.1632,0.0332,0.0131,0.0624,-0.0415,-0.0900,0.0862,-0.0077,0.0787
