,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R001,1.0000,0.8770,0.8288,0.8976,0.3010,0.3763,0.5505,0.3538,-0.2487,-0.0783,-0.0680,0.0935,0.3755,0.4323,0.1194,0.1166,0.3040,0.2792,0.2066,0.1826,0.4694,0.5197,0.5268,0.3761,0.5988,0.5667,0.2727,0.0965,0.0687,0.3023,0.3360,0.1018,0.2565
R002,0.8770,1.0000,0.7447,0.8288,0.1930,0.2909,0.4551,0.2165,-0.2610,-0.1293,-0.0884,0.0259,0.2904,0.3375,0.0767,0.0906,0.2834,0.2749,0.1298,0.1312,0.4510,0.5055,0.5206,0.3572,0.5598,0.5770,0.1927,0.0424,0.0346,0.2465,0.2457,0.0162,0.1765
R003,0.8288,0.7447,1.0000,0.8618,0.2155,0.2352,0.3939,0.2628,-0.3057,-0.1809,-0.1358,-0.0156,0.4414,0.5014,0.2406,0.2099,0.4041,0.3987,0.3131,0.3403,0.4366,0.4456,0.4288,0.3507,0.5385,0.5068,0.3042,0.2209,0.1853,0.3749,0.4603,0.2530,0.3631
R004,0.8976,0.8288,0.8618,1.0000,0.1997,0.2464,0.4237,0.2370,-0.2102,-0.0412,-0.0389,0.0923,0.4192,0.4519,0.2385,0.2313,0.4386,0.4070,0.3253,0.3163,0.3984,0.4145,0.4154,0.3004,0.5101,0.4841,0.2570,0.1538,0.0810,0.2987,0.3713,0.1351,0.2735
R005,0.3010,0.1930,0.2155,0.1997,1.0000,0.7517,0.7584,0.7554,0.0114,0.1326,0.1415,0.2292,0.4060,0.5033,0.0115,0.0723,0.1576,0.1379,0.0530,0.0292,0.2765,0.2479,0.1645,0.1917,0.3342,0.1290,0.2505,0.1439,0.1049,0.2096,0.2259,0.2817,0.3202
R006,0.3763,0.2909,0.2352,0.2464,0.7517,1.0000,0.8090,0.7840,0.1067,0.2202,0.2498,0.3817,0.2523,0.3879,-0.0208,0.0905,0.0985,0.0604,0.0187,-0.0397,0.3054,0.3625,0.2580,0.2158,0.4009,0.2574,0.2728,0.1423,0.0912,0.2043,0.1904,0.1841,0.2911
R007,0.5505,0.4551,0.3939,0.4237,0.7584,0.8090,1.0000,0.8224,-0.0292,0.1453,0.1520,0.2656,0.3306,0.4975,-0.0280,0.0315,0.1350,0.1125,0.0098,-0.0364,0.3986,0.3999,0.3287,0.2889,0.5154,0.3419,0.2644,0.1373,0.0678,0.2657,0.2958,0.1870,0.3185
R008,0.3538,0.2165,0.2628,0.2370,0.7554,0.7840,0.8224,1.0000,0.0237,0.1867,0.1837,0.2942,0.2882,0.4485,0.1016,0.1416,0.1616,0.1779,0.1397,0.0576,0.3603,0.3531,0.2762,0.2482,0.4476,0.2569,0.3217,0.2171,0.1850,0.3113,0.2636,0.2309,0.3322
R009,-0.2487,-0.2610,-0.3057,-0.2102,0.0114,0.1067,-0.0292,0.0237,1.0000,0.6885,0.7181,0.7540,-0.2022,-0.2443,-0.1818,-0.1010,-0.1899,-0.1110,-0.1230,-0.2368,-0.2227,-0.1990,-0.2695,-0.2340,-0.2586,-0.2559,0.0434,0.1265,0.0511,-0.0120,-0.2160,-0.0295,-0.0413
R010,-0.0783,-0.1293,-0.1809,-0.0412,0.1326,0.2202,0.1453,0.1867,0.6885,1.0000,0.6857,0.6897,0.0118,0.0185,-0.0346,0.1116,0.0165,0.0927,-0.0287,-0.0551,-0.1483,-0.1279,-0.1807,-0.1847,-0.1143,-0.2083,0.1585,0.2374,0.1292,0.1008,-0.0367,0.1133,0.0741
