L-BSTS,L-cACC,L-CMF,L-CUN,L-ENT,L-FUS,L-IP,L-IT,L-iCC,L-LOG,L-LOF,L-LIN,L-MOF,L-MT,L-PHC,L-PAR,L-POP,L-POB,L-PTR,L-PCA,L-PSC,L-PCC,L-PRC,L-PREC,L-rACC,L-RMF,L-SF,L-SP,L-ST,L-SMG,L-FP,L-TP,L-TT,L-INS,R-BSTS,R-cACC,R-CMF,R-CUN,R-ENT,R-FUS,R-IP,R-IT,R-iCC,R-LOG,R-LOF,R-LIN,R-MOF,R-MT,R-PHC,R-PAR,R-POP,R-POB,R-PTR,R-PCA,R-PSC,R-PCC,R-PRC,R-PREC,R-rACC,R-RMF,R-SF,R-SP,R-ST,R-SMG,R-FP,R-TP,R-TT,R-INS
0.000000,0.204957,0.309653,0.351221,0.364082,0.562487,0.535122,0.474250,0.484478,0.476992,0.190626,0.464918,0.141459,0.540579,0.520630,0.277852,0.358279,0.177576,0.280469,0.363752,0.459339,0.459763,0.366682,0.372128,0.194439,0.193096,0.176642,0.441472,0.583025,0.632602,0.114276,0.262848,0.702701,0.525739,0.223952,0.180024,0.125836,0.261965,0.180765,0.177810,0.161045,0.123437,0.355222,0.173206,0.099231,0.287546,0.127043,0.124898,0.224564,0.226507,0.124990,0.091365,0.109145,0.284475,0.151354,0.341815,0.135769,0.289800,0.171416,0.117877,0.134992,0.189151,0.119329,0.121956,0.110560,0.119805,0.161652,0.180584
0.204957,0.000000,0.411772,0.116087,0.275757,0.179885,0.133672,0.197748,0.229562,0.106255,0.394411,0.146997,0.471654,0.219578,0.217515,0.223688,0.454418,0.378087,0.477567,0.116836,0.257949,0.211613,0.312624,0.161196,0.849133,0.654184,0.630989,0.158077,0.244561,0.183611,0.466336,0.253167,0.294807,0.383575,0.180024,0.150667,0.342522,0.113641,0.251755,0.163031,0.121701,0.170991,0.224026,0.098777,0.337000,0.142195,0.456081,0.187205,0.201695,0.218380,0.363553,0.322272,0.378087,0.114855,0.225733,0.206757,0.268595,0.158012,0.771615,0.534076,0.564697,0.146938,0.204006,0.157295,0.461147,0.224593,0.251515,0.328937
0.309653,0.411772,0.000000,0.154969,0.215271,0.195525,0.233106,0.216843,0.265526,0.154589,0.251344,0.170752,0.207130,0.261965,0.210561,0.343706,0.665413,0.242841,0.485911,0.134889,0.553205,0.259492,0.747847,0.222537,0.343944,0.536323,0.516736,0.275757,0.338553,0.375190,0.196620,0.187950,0.409758,0.410762,0.125836,0.342522,0.242465,0.131896,0.133825,0.105774,0.113190,0.091394,0.222985,0.090866,0.130363,0.135302,0.184749,0.100130,0.133608,0.279155,0.179546,0.123482,0.160776,0.119416,0.181794,0.218461,0.199213,0.190191,0.293329,0.247031,0.323915,0.153083,0.109145,0.114804,0.189324,0.102723,0.148696,0.176797
0.351221,0.116087,0.154969,0.000000,0.170973,0.278055,0.534076,0.177987,0.547594,0.593849,0.077614,0.623763,0.071073,0.188571,0.286388,0.322906,0.146005,0.071511,0.110300,0.674436,0.276117,0.599362,0.205374,0.691855,0.104990,0.096324,0.102975,0.521896,0.190386,0.293374,0.058706,0.109497,0.249341,0.212026,0.261965,0.113641,0.131896,0.207202,0.152710,0.226191,0.368097,0.142251,0.501940,0.412871,0.069758,0.524736,0.069839,0.148532,0.247197,0.306733,0.122548,0.064109,0.094447,0.599362,0.220346,0.543203,0.169818,0.611653,0.102871,0.088549,0.098253,0.396902,0.147408,0.212026,0.058386,0.096292,0.197933,0.179407
0.364082,0.275757,0.215271,0.170973,0.000000,0.545545,0.189410,0.602372,0.294403,0.208532,0.384971,0.283464,0.308626,0.557136,0.626221,0.144323,0.320749,0.353962,0.339479,0.223998,0.208130,0.256350,0.198467,0.179229,0.309801,0.213770,0.178991,0.171268,0.456394,0.229768,0.232025,0.685599,0.456812,0.561811,0.180765,0.251755,0.133825,0.152710,0.075276,0.254523,0.119848,0.212207,0.259637,0.137451,0.215033,0.230240,0.279647,0.200720,0.330201,0.132748,0.168783,0.198374,0.175102,0.201575,0.129049,0.228595,0.124347,0.163288,0.280634,0.156182,0.152524,0.124164,0.175102,0.116201,0.225704,0.279647,0.208331,0.265977
0.562487,0.179885,0.195525,0.278055,0.545545,0.000000,0.317279,0.651149,0.386823,0.392257,0.211613,0.465027,0.161264,0.611653,0.833726,0.169672,0.262296,0.195457,0.237051,0.371095,0.249611,0.346398,0.209771,0.257521,0.186444,0.149369,0.131064,0.255399,0.496340,0.328063,0.123448,0.377803,0.510886,0.475274,0.177810,0.163031,0.105774,0.226191,0.254523,0.268059,0.144909,0.166089,0.312823,0.180765,0.119902,0.310835,0.146938,0.158012,0.302162,0.149549,0.121303,0.109993,0.113440,0.302162,0.124084,0.285026,0.109878,0.219578,0.168657,0.103817,0.151228,0.150273,0.138423,0.114367,0.120076,0.171139,0.174131,0.200176
0.535122,0.133672,0.233106,0.534076,0.189410,0.317279,0.000000,0.236556,0.473456,0.619363,0.099173,0.467214,0.079064,0.265864,0.299366,0.352525,0.217623,0.092411,0.158339,0.416981,0.445105,0.507158,0.320592,0.545701,0.119254,0.128100,0.129448,0.731577,0.293552,0.561979,0.065802,0.130867,0.365945,0.279196,0.161045,0.121701,0.113190,0.368097,0.119848,0.144909,0.221149,0.094942,0.359374,0.208759,0.062614,0.301038,0.073303,0.099140,0.171805,0.283843,0.100508,0.057659,0.080207,0.325681,0.162688,0.378087,0.136567,0.398159,0.109079,0.088072,0.134087,0.250017,0.099173,0.131859,0.064254,0.076706,0.137836,0.138049
0.474250,0.197748,0.216843,0.177987,0.602372,0.651149,0.236556,0.000000,0.269362,0.257806,0.297710,0.285876,0.197933,0.888338,0.578075,0.137146,0.322906,0.278543,0.318101,0.224593,0.234227,0.240949,0.213064,0.178065,0.211820,0.178222,0.144909,0.193564,0.657261,0.310638,0.151738,0.524165,0.543203,0.531115,0.123437,0.170991,0.091394,0.142251,0.212207,0.166089,0.094942,0.226601,0.214426,0.111854,0.122190,0.192940,0.171139,0.120033,0.214531,0.116836,0.105638,0.112961,0.146298,0.182955,0.094354,0.194642,0.088803,0.148532,0.182139,0.103958,0.109535,0.102801,0.106073,0.081098,0.145312,0.154732,0.132208,0.162620
0.484478,0.229562,0.265526,0.547594,0.294403,0.386823,0.473456,0.269362,0.000000,0.443133,0.148413,0.630073,0.140646,0.290895,0.440404,0.422593,0.263624,0.136724,0.205571,0.524736,0.399107,0.946694,0.321010,0.655205,0.209466,0.183283,0.192496,0.515773,0.298628,0.368097,0.117045,0.190474,0.412871,0.386228,0.355222,0.224026,0.222985,0.501940,0.259637,0.312823,0.359374,0.214426,0.082698,0.353273,0.132660,0.545701,0.138049,0.227113,0.372473,0.401017,0.217192,0.122012,0.173828,0.490879,0.314431,0.769853,0.262149,0.597773,0.204688,0.167365,0.182955,0.412871,0.228390,0.270287,0.116378,0.166583,0.316460,0.315646
0.476992,0.106255,0.154589,0.593849,0.208532,0.392257,0.619363,0.257806,0.443133,0.000000,0.089457,0.633760,0.074761,0.268901,0.358087,0.231219,0.161736,0.082716,0.124910,0.609975,0.274679,0.453180,0.201408,0.446297,0.099571,0.093073,0.091520,0.450725,0.263032,0.371370,0.057675,0.139447,0.311231,0.246799,0.173206,0.098777,0.090866,0.412871,0.137451,0.180765,0.208759,0.111854,0.353273,0.153183,0.060895,0.382406,0.067750,0.111972,0.208658,0.200649,0.088831,0.055788,0.072592,0.446695,0.136567,0.359633,0.109840,0.355285,0.092741,0.069839,0.078180,0.224026,0.105098,0.127386,0.056560,0.086606,0.139881,0.137836
0.190626,0.394411,0.251344,0.077614,0.384971,0.211613,0.099173,0.297710,0.148413,0.089457,0.000000,0.116378,0.586953,0.308479,0.235939,0.106001,0.390733,1.000000,0.547594,0.144898,0.163718,0.131909,0.188656,0.094694,0.477107,0.364347,0.270597,0.099272,0.310243,0.152850,0.484597,0.502457,0.291247,0.386526,0.099231,0.337000,0.130363,0.069758,0.215033,0.119902,0.062614,0.122190,0.132660,0.060895,0.135777,0.097863,0.464592,0.121524,0.153724,0.096228,0.159393,0.248399,0.186528,0.082257,0.093924,0.118611,0.104633,0.086334,0.395653,0.211099,0.207854,0.070906,0.115757,0.072979,0.452769,0.205571,0.134233,0.185103
0.464918,0.146997,0.170752,0.623763,0.283464,0.465027,0.467214,0.285876,0.630073,0.633760,0.116378,0.000000,0.103958,0.290544,0.485074,0.260107,0.184686,0.106878,0.148592,0.836202,0.271530,0.606656,0.208860,0.504534,0.140427,0.116502,0.116669,0.407516,0.272155,0.312424,0.082947,0.180444,0.342817,0.304623,0.287546,0.142195,0.135302,0.524736,0.230240,0.310835,0.301038,0.192940,0.545701,0.382406,0.097863,0.257374,0.101049,0.192851,0.358601,0.244692,0.141086,0.089600,0.116502,0.662486,0.200271,0.529357,0.160525,0.452769,0.135939,0.102662,0.108890,0.303104,0.178853,0.198397,0.082231,0.144452,0.234105,0.229327
0.141459,0.471654,0.207130,0.071073,0.308626,0.161264,0.079064,0.197933,0.140646,0.072144,0.586953,0.103958,0.000000,0.202173,0.194102,0.104490,0.286046,0.573053,0.374699,0.082409,0.132610,0.124910,0.154732,0.089343,0.605833,0.352525,0.292130,0.084856,0.200176,0.110262,0.810674,0.352774,0.210178,0.291953,0.127043,0.456081,0.184749,0.069839,0.279647,0.146938,0.073303,0.171139,0.138049,0.067750,0.464592,0.101049,0.195500,0.173602,0.180845,0.102801,0.244823,0.451540,0.310046,0.081198,0.161004,0.122727,0.139936,0.087988,0.578075,0.317279,0.277893,0.080256,0.170256,0.097572,0.786309,0.303293,0.184770,0.257663
0.540579,0.219578,0.261965,0.188571,0.557136,0.611653,0.265864,0.888338,0.290895,0.268901,0.308479,0.290544,0.202173,0.000000,0.551426,0.159195,0.385045,0.289147,0.365678,0.225618,0.282168,0.262443,0.258665,0.196277,0.229562,0.205965,0.167937,0.221562,0.808519,0.371370,0.157620,0.481288,0.650147,0.606656,0.124898,0.187205,0.100130,0.148532,0.200720,0.158012,0.129858,0.120033,0.227113,0.111972,0.121524,0.192851,0.173602,0.234627,0.205276,0.133266,0.111541,0.112445,0.108890,0.182383,0.102627,0.208055,0.097540,0.161129,0.194913,0.113882,0.123267,0.110918,0.105530,0.084723,0.150577,0.145139,0.134490,0.165176
0.520630,0.217515,0.210561,0.286388,0.626221,0.833726,0.299366,0.578075,0.440404,0.358087,0.235939,0.485074,0.194102,0.551426,0.000000,0.188656,0.280016,0.216763,0.256103,0.383575,0.256527,0.387121,0.220566,0.277245,0.226421,0.170917,0.153037,0.257949,0.459445,0.304432,0.148950,0.403916,0.511962,0.521896,0.224564,0.201695,0.133608,0.247197,0.330201,0.302162,0.171805,0.214531,0.372473,0.208658,0.153724,0.358601,0.180845,0.205276,0.151659,0.172028,0.156907,0.140866,0.147231,0.330698,0.153724,0.333372,0.137146,0.246799,0.209568,0.130277,0.132660,0.176120,0.180364,0.143260,0.145889,0.219907,0.225733,0.261709
0.277852,0.223688,0.343706,0.322906,0.144323,0.169672,0.352525,0.137146,0.422593,0.231219,0.106001,0.260107,0.104490,0.159195,0.188656,0.000000,0.247730,0.099571,0.178695,0.231338,0.502457,0.462003,0.449508,0.509281,0.181976,0.212752,0.256385,0.519650,0.188485,0.321640,0.096546,0.101971,0.263476,0.242744,0.226507,0.218380,0.279155,0.306733,0.132748,0.149549,0.283843,0.116836,0.401017,0.200649,0.096228,0.244692,0.102801,0.133266,0.172028,0.104378,0.205571,0.090147,0.152912,0.223913,0.375541,0.436186,0.345437,0.477567,0.178144,0.192762,0.241332,0.415258,0.153349,0.242744,0.096039,0.092232,0.217085,0.209771
0.358279,0.454418,0.665413,0.146005,0.320749,0.262296,0.217623,0.322906,0.263624,0.161736,0.390733,0.184686,0.286046,0.385045,0.280016,0.247730,0.000000,0.375822,0.756283,0.142362,0.433920,0.246666,0.517426,0.194012,0.420822,0.543825,0.438860,0.231815,0.484597,0.365678,0.256244,0.300293,0.534673,0.583954,0.130399,0.363553,0.179546,0.122548,0.168783,0.121303,0.100508,0.105638,0.217192,0.088831,0.159393,0.141086,0.244823,0.111541,0.156907,0.205571,0.175973,0.150334,0.167437,0.123811,0.150031,0.204786,0.161804,0.164897,0.341639,0.232174,0.279196,0.127623,0.114855,0.102247,0.243780,0.132108,0.151861,0.191086
0.177576,0.378087,0.242841,0.071511,0.353962,0.195457,0.092411,0.278543,0.136724,0.082716,1.000000,0.106878,0.573053,0.289147,0.216763,0.099571,0.375822,0.000000,0.533481,0.082639,0.163581,0.121701,0.180444,0.087626,0.456498,0.359374,0.264665,0.130551,0.292839,0.144452,0.485074,0.470312,0.272155,0.358601,0.091365,0.322272,0.123482,0.064109,0.198374,0.109993,0.057659,0.112961,0.122012,0.055788,0.248399,0.089600,0.451540,0.112445,0.140866,0.090147,0.150334,0.068636,0.177205,0.075338,0.087653,0.109231,0.098384,0.079718,0.378087,0.204006,0.201313,0.065578,0.107431,0.067634,0.451540,0.192230,0.124221,0.171508
